iter	Passed	Remaining
568	24257	18374
569	24297	18329
570	24342	18288
571	24396	18254
572	24440	18212
573	24481	18169
574	24523	18126
575	24566	18083
576	24609	18041
577	24651	17997
578	24693	17955
579	24735	17912
580	24775	17867
581	24815	17823
582	24858	17780
583	24904	17739
584	24945	17696
585	24985	17652
586	25026	17608
587	25067	17564
588	25109	17521
589	25150	17477
590	25192	17434
591	25235	17391
592	25274	17346
593	25315	17303
594	25358	17260
595	25401	17218
596	25441	17174
597	25481	17129
598	25522	17085
599	25563	17042
600	25606	17000
601	25651	16958
602	25692	16915
603	25734	16872
604	25776	16828
605	25820	16787
606	25861	16743
607	25902	16700
608	25944	16657
609	25990	16616
610	26039	16578
611	26083	16536
612	26128	16495
613	26172	16453
614	26213	16409
615	26254	16366
616	26297	16323
617	26337	16279
618	26379	16236
619	26424	16195
620	26466	16152
621	26511	16111
622	26553	16068
623	26594	16025
624	26638	15982
625	26681	15940
626	26724	15898
627	26766	15855
628	26808	15812
629	26848	15768
630	26889	15724
631	26933	15682
632	26976	15640
633	27015	15595
634	27057	15552
635	27098	15509
636	27141	15466
637	27183	15424
638	27226	15381
639	27265	15337
640	27306	15293
641	27348	15250
642	27392	15208
643	27434	15165
644	27476	15122
645	27517	15079
646	27559	15036
647	27599	14992
648	27646	14952
649	27685	14907
650	27727	14864
651	27768	14821
652	27809	14777
653	27856	14737
654	27898	14694
655	27939	14651
656	27983	14609
657	28024	14566
658	28066	14523
659	28108	14479
660	28150	14437
661	28191	14394
662	28233	14350
663	28275	14307
664	28318	14265
665	28361	14223
666	28403	14180
667	28443	14136
668	28488	14095
669	28529	14052
670	28570	14008
671	28610	13964
672	28652	13922
673	28693	13878
674	28737	13836
675	28777	13792
676	28819	13749
677	28861	13706
678	28902	13663
679	28946	13621
680	28988	13578
681	29028	13535
682	29070	13492
683	29110	13448
684	29151	13405
685	29195	13363
686	29237	13320
687	29278	13277
688	29319	13234
689	29359	13190
690	29401	13147
691	29441	13103
692	29485	13062
693	29528	13019
694	29571	12977
695	29616	12935
696	29663	12895
697	29703	12851
698	29745	12808
699	29785	12765
700	29828	12722
701	29868	12679
702	29910	12636
703	29952	12593
704	29992	12549
705	30033	12506
706	30074	12463
707	30114	12420
708	30154	12376
709	30195	12333
710	30236	12290
711	30277	12247
712	30318	12203
713	30358	12160
714	30402	12118
715	30442	12074
716	30482	12031
717	30533	11992
718	30574	11949
719	30616	11906
720	30660	11864
721	30703	11822
722	30745	11779
723	30788	11737
724	30829	11693
725	30869	11650
726	30910	11607
727	30953	11565
728	30994	11522
729	31034	11478
730	31075	11435
731	31116	11392
732	31155	11348
733	31196	11305
734	31238	11262
735	31277	11219
736	31318	11175
737	31360	11133
738	31400	11090
739	31444	11048
740	31486	11005
741	31526	10962
742	31573	10920
743	31613	10877
744	31657	10835
745	31699	10792
746	31739	10749
747	31779	10706
748	31820	10663
749	31861	10620
750	31902	10577
751	31942	10534
752	31983	10491
753	32024	10448
754	32066	10405
755	32109	10363
756	32147	10319
757	32188	10276
758	32229	10233
759	32270	10190
760	32312	10148
761	32353	10105
762	32394	10062
763	32434	10018
764	32476	9976
765	32519	9934
766	32562	9891
767	32606	9849
768	32649	9807
769	32689	9764
770	32728	9721
771	32773	9679
772	32818	9637
773	32859	9594
774	32899	9551
775	32941	9508
776	32984	9466
777	33026	9423
778	33067	9381
779	33108	9338
780	33147	9294
781	33189	9252
782	33231	9209
783	33270	9166
784	33312	9123
785	33354	9081
786	33396	9038
787	33436	8995
788	33478	8953
789	33520	8910
790	33560	8867
791	33612	8827
792	33659	8786
793	33701	8743
794	33743	8701
795	33784	8658
796	33823	8615
797	33865	8572
798	33904	8529
799	33946	8486
800	33988	8444
801	34028	8401
802	34067	8357
803	34107	8314
804	34151	8272
805	34194	8230
806	34237	8188
807	34277	8145
808	34317	8102
809	34358	8059
810	34401	8017
811	34442	7974
812	34484	7931
813	34525	7889
814	34565	7846
815	34607	7803
816	34658	7763
817	34698	7720
818	34740	7677
819	34782	7635
820	34823	7592
821	34866	7550
822	34906	7507
823	34948	7464
824	34987	7421
825	35028	7378
826	35071	7336
827	35114	7294
828	35157	7252
829	35199	7209
830	35239	7166
831	35281	7124
832	35322	7081
833	35364	7038
834	35405	6996
835	35447	6953
836	35491	6911
837	35532	6869
838	35572	6826
839	35612	6783
840	35652	6740
841	35699	6698
842	35738	6655
843	35780	6613
844	35822	6570
845	35862	6528
846	35906	6486
847	35948	6443
848	35989	6400
849	36030	6358
850	36069	6315
851	36109	6272
852	36150	6229
853	36191	6187
854	36234	6144
855	36274	6102
856	36314	6059
857	36353	6016
858	36394	5973
859	36435	5931
860	36479	5889
861	36519	5846
862	36561	5804
863	36601	5761
864	36641	5718
865	36684	5676
866	36727	5634
867	36769	5591
868	36811	5549
869	36851	5506
870	36894	5464
871	36935	5421
872	36975	5379
873	37017	5336
874	37057	5293
875	37098	5251
876	37140	5208
877	37180	5166
878	37221	5123
879	37262	5081
880	37302	5038
881	37343	4996
882	37384	4953
883	37424	4910
884	37464	4868
885	37506	4825
886	37546	4783
887	37589	4740
888	37629	4698
889	37669	4655
890	37710	4613
891	37755	4571
892	37796	4528
893	37839	4486
894	37879	4443
895	37920	4401
896	37958	4358
897	38001	4316
898	38043	4274
899	38083	4231
900	38124	4189
901	38168	4146
902	38210	4104
903	38251	4062
904	38293	4019
905	38332	3977
906	38372	3934
907	38414	3892
908	38456	3849
909	38497	3807
910	38539	3765
911	38579	3722
912	38623	3680
913	38664	3638
914	38706	3595
915	38752	3553
916	38794	3511
917	38835	3468
918	38876	3426
919	38921	3384
920	38963	3342
921	39004	3299
922	39045	3257
923	39093	3215
924	39138	3173
925	39179	3130
926	39219	3088
927	39259	3045
928	39299	3003
929	39340	2961
930	39380	2918
931	39422	2876
932	39462	2833
933	39503	2791
934	39544	2749
935	39586	2706
936	39631	2664
937	39672	2622
938	39713	2579
939	39754	2537
940	39801	2495
941	39841	2453
942	39881	2410
943	39922	2368
944	39963	2325
945	40003	2283
946	40046	2241
947	40089	2198
948	40129	2156
949	40168	2114
950	40210	2071
951	40250	2029
952	40292	1987
953	40332	1944
954	40372	1902
955	40414	1860
956	40456	1817
957	40497	1775
958	40541	1733
959	40583	1690
960	40629	1648
961	40676	1606
962	40726	1564
963	40771	1522
964	40814	1480
965	40856	1438
966	40895	1395
967	40938	1353
968	40980	1311
969	41022	1268
970	41064	1226
971	41104	1184
972	41145	1141
973	41186	1099
974	41226	1057
975	41267	1014
976	41308	972
977	41348	930
978	41387	887
979	41429	845
980	41469	803
981	41512	760
982	41555	718
983	41597	676
984	41636	634
985	41679	591
986	41721	549
987	41761	507
988	41802	464
989	41851	422
990	41893	380
991	41933	338
992	41975	295
993	42016	253
994	42060	211
995	42109	169
996	42158	126
997	42200	84
998	42241	42
999	42282	0
