iter	MultiClass
154	1.021651236
155	1.021563117
156	1.02143632
157	1.021153332
158	1.021065616
159	1.020643776
160	1.020463614
161	1.020150399
162	1.020014942
163	1.019797494
164	1.019723703
165	1.019446621
166	1.019182847
167	1.018997499
168	1.018937361
169	1.018592754
170	1.018460311
171	1.017909235
172	1.017807268
173	1.017723094
174	1.017467111
175	1.017408859
176	1.017234747
177	1.016943207
178	1.016768007
179	1.016481883
180	1.016200514
181	1.016020511
182	1.015872184
183	1.015718487
184	1.015603627
185	1.01536466
186	1.015218307
187	1.015101681
188	1.014922416
189	1.014799694
190	1.014625494
191	1.014472252
192	1.014345062
193	1.014264805
194	1.014153933
195	1.01390552
196	1.013525477
197	1.013327467
198	1.013066765
199	1.012914156
200	1.012803543
201	1.012477262
202	1.012221127
203	1.012008961
204	1.011855363
205	1.011780547
206	1.011573691
207	1.01128113
208	1.011004967
209	1.010774465
210	1.010574791
211	1.010287212
212	1.01013329
213	1.010070036
214	1.009810413
215	1.009615123
216	1.009528219
217	1.00928939
218	1.009106108
219	1.009028326
220	1.008673707
221	1.008515555
222	1.00828821
223	1.008201492
224	1.008068657
225	1.007892685
226	1.007743366
227	1.007669158
228	1.007528982
229	1.007198521
230	1.006878222
231	1.006826406
232	1.006646725
233	1.006480268
234	1.006328232
235	1.006050173
236	1.005941527
237	1.00570314
238	1.005461629
239	1.005304491
240	1.005158599
241	1.005080053
242	1.004924771
243	1.004800048
244	1.004683234
245	1.004476089
246	1.004341764
247	1.004180803
248	1.004048035
249	1.003872306
250	1.003724836
251	1.003628872
252	1.003444892
253	1.003271229
254	1.00316557
255	1.002999052
256	1.00275792
257	1.002449477
258	1.002216624
259	1.002050236
260	1.001851707
261	1.001583004
262	1.001425896
263	1.001171406
264	1.000868004
265	1.000718639
266	1.000607467
267	1.0004588
268	1.000337461
269	1.000170019
270	1.000012161
271	0.9998552747
272	0.9996826653
273	0.9995555446
274	0.9994750839
275	0.9993548308
276	0.9992305878
277	0.9990910201
278	0.9989756469
279	0.9988322414
280	0.9985841182
281	0.9984109683
282	0.9982174396
283	0.9981334161
284	0.9978800455
285	0.9976337397
286	0.9975091547
287	0.9971901456
288	0.9970974573
289	0.9969355537
290	0.9966738632
291	0.9965167645
292	0.9963430988
293	0.9961947415
294	0.9960555765
295	0.9958453682
296	0.9957010456
297	0.9954410293
298	0.9953580381
299	0.995203829
300	0.9949947702
301	0.9948423163
302	0.994626344
303	0.9944720553
304	0.9943157534
305	0.9942284238
306	0.994110876
307	0.9939164967
308	0.9937517626
309	0.993480738
310	0.9932742604
311	0.9931632914
312	0.9929562586
313	0.9927520056
314	0.992616947
315	0.9923454825
316	0.9921265735
317	0.9918404574
318	0.9916576179
319	0.9914872464
320	0.9911748955
321	0.9909771553
322	0.9907489584
323	0.9906427953
324	0.9903902237
325	0.9902342836
326	0.9900950809
327	0.9899177217
328	0.989628545
329	0.9895786375
330	0.9894084116
331	0.9891898359
332	0.9890816757
333	0.9888633688
334	0.988796059
335	0.9886657515
336	0.9885566476
337	0.9884303012
338	0.9883031616
339	0.9881896718
340	0.9880284967
341	0.9879170307
342	0.9875181013
343	0.9873205196
344	0.98708941
345	0.9869104819
346	0.9868309563
347	0.9865745676
348	0.9863689377
349	0.9862461735
350	0.9861913124
351	0.9861195648
352	0.9860743261
353	0.9858860076
354	0.9856233182
355	0.9854808868
356	0.9853356577
357	0.9850485131
358	0.9849409143
359	0.9848385593
360	0.9847307831
361	0.9845606519
362	0.9843425725
363	0.9841417583
364	0.9839013117
365	0.9837111532
366	0.9836110119
367	0.9834026663
368	0.983250775
369	0.9830240632
370	0.9829307084
371	0.9827344084
372	0.9824601378
373	0.9823220268
374	0.9822782411
375	0.9820712127
376	0.9817621831
377	0.981668452
378	0.9813754475
379	0.9812207277
380	0.9810683614
381	0.9807328343
382	0.9806701408
383	0.9805522603
384	0.9804893663
385	0.9803056224
386	0.9801434947
387	0.9800440644
388	0.9799517388
389	0.9797114017
390	0.9795731302
391	0.9793043572
392	0.9792352347
393	0.9790893214
394	0.9788859569
395	0.9788114994
396	0.9786353071
397	0.978422554
398	0.9783272854
399	0.9781665542
400	0.9779842272
401	0.977754169
402	0.9775907605
403	0.9773321734
404	0.9771264254
405	0.9769445498
406	0.9767042043
407	0.9765322681
408	0.9764189827
409	0.9763226848
410	0.9760611943
411	0.9759846559
412	0.9757719181
413	0.9756324314
414	0.975374832
415	0.975206519
416	0.9751188019
417	0.9750432406
418	0.9748965662
419	0.9747319633
420	0.974600009
421	0.9743333579
422	0.9742277619
423	0.9741062943
424	0.9739291414
425	0.9737038679
426	0.973543203
427	0.97341758
428	0.9733849615
429	0.9730704127
430	0.9729786958
431	0.9727746583
432	0.9725567188
433	0.9724498414
434	0.9722947826
435	0.9722257118
436	0.9721006868
437	0.9719256516
438	0.9717341824
439	0.9716245526
440	0.9714006282
441	0.9711476492
442	0.9709658418
443	0.970947416
444	0.9708326793
445	0.9707117425
446	0.9705578535
447	0.9704680604
448	0.970268976
449	0.9700445239
450	0.9698346279
451	0.9696040724
452	0.9694885666
453	0.9693383071
454	0.969177254
455	0.9690313651
456	0.9689159115
457	0.9687257495
458	0.9685847692
459	0.9684809868
460	0.9684253334
461	0.9682991694
462	0.9680461107
463	0.9678910347
464	0.9677758021
465	0.967636287
466	0.9674915332
467	0.9672796978
468	0.9671971389
469	0.9669729334
470	0.9668739786
471	0.9667401668
472	0.9666046396
473	0.9664959523
474	0.9662559348
475	0.9661777321
476	0.9661041564
477	0.9658705234
478	0.9656859768
479	0.9655771079
480	0.9653178508
481	0.9652542856
482	0.9651273057
483	0.9649697628
484	0.9647961109
485	0.9646756721
486	0.9645256869
487	0.9644169898
488	0.9642686882
489	0.9641407245
490	0.9640361061
491	0.963876451
492	0.9637526093
493	0.9635626665
494	0.9633364508
495	0.9632029307
496	0.9630758082
497	0.9628737854
498	0.9628059428
499	0.9626672582
500	0.9625626166
501	0.9623984978
502	0.9622347973
503	0.9621354274
504	0.9619978139
505	0.9618027641
506	0.9616940693
507	0.9615162831
508	0.9613854838
509	0.9612717178
510	0.9611295919
511	0.9609452183
512	0.9607881091
513	0.960671461
514	0.9604539811
515	0.9602939084
516	0.9600827371
517	0.9599965585
518	0.959844455
519	0.9596662394
520	0.9595567744
521	0.9593165357
522	0.9592276213
523	0.9590511786
524	0.9589691463
525	0.9588836662
526	0.9587283993
527	0.9585528081
528	0.958359821
529	0.9581482643
530	0.9580191901
531	0.9577881917
532	0.9576036704
533	0.9573019714
534	0.9572415021
535	0.9571007375
536	0.9569564021
537	0.9568559586
538	0.9566975382
539	0.9566092416
540	0.9564677168
541	0.9563653085
542	0.9562524041
543	0.9561323945
544	0.9559787784
545	0.9559192955
546	0.9557565022
547	0.9555735613
548	0.9554581746
549	0.9553054296
550	0.9551411724
551	0.954999938
552	0.9548768214
553	0.9547556474
554	0.9546173084
555	0.9545101796
556	0.9543076443
557	0.9542090044
558	0.9541120691
559	0.954021765
560	0.9539044135
561	0.9537366762
562	0.9536258336
563	0.9535003983
564	0.95333203
565	0.953246081
566	0.9531549859
567	0.9530251859
568	0.95284731
569	0.9527791791
570	0.9527061832
571	0.952610474
572	0.9524470431
573	0.9523885329
574	0.9521749696
575	0.9519500366
576	0.9518345695
577	0.9516586352
578	0.9514880622
579	0.9513391856
580	0.9510918494
581	0.9509003825
582	0.950745811
583	0.9506040584
584	0.9504508031
585	0.9503754546
586	0.950172761
587	0.9500987845
588	0.9500060817
589	0.9498373857
590	0.9497266639
591	0.9495169624
592	0.9494404188
593	0.9493375427
594	0.9492200022
595	0.9491212283
596	0.9490410618
597	0.9489449961
598	0.9488267303
599	0.9487822888
600	0.9485255424
601	0.948418988
602	0.9482676526
603	0.9481467844
604	0.9479143664
605	0.9478076952
606	0.9476526918
607	0.9475090868
608	0.9473414114
609	0.9472520137
610	0.9471371507
611	0.9470003731
612	0.9469122912
613	0.9467544593
614	0.9466817316
615	0.9465445864
616	0.9463766367
617	0.9462784544
618	0.9461342359
619	0.9460771777
620	0.9458767057
621	0.9456971223
622	0.9455155482
623	0.9453316522
624	0.9452532091
625	0.9450602703
626	0.9449243943
627	0.9448026068
628	0.9445976196
629	0.9444694654
630	0.9443777307
631	0.9442944023
632	0.9441592102
633	0.9440756648
634	0.9439444685
635	0.9438241456
636	0.9436872611
637	0.9435477642
638	0.9433175023
639	0.9432668188
640	0.9431954513
641	0.9430977554
642	0.9429624147
643	0.9428442118
644	0.9427081717
645	0.9425279462
646	0.9424170115
647	0.942293121
648	0.9421807713
649	0.9420043243
650	0.9418769822
651	0.9416704179
652	0.9415427708
653	0.9414234786
654	0.941327773
655	0.9412106089
656	0.9410599528
657	0.9409250624
658	0.9407848103
659	0.9406759608
660	0.9405254736
661	0.9404754397
662	0.9404211519
663	0.9403506508
664	0.9402427715
665	0.9401447874
666	0.9399971311
667	0.9399160379
668	0.9397556196
669	0.9396686414
670	0.9395214803
671	0.9394869003
672	0.9394172136
673	0.939337166
674	0.9390760283
675	0.9388581805
676	0.9387526667
677	0.9386119205
678	0.9383827922
679	0.9382502841
680	0.9381156837
681	0.9380311545
682	0.9379310476
683	0.9377700136
684	0.9376649261
685	0.9374814886
686	0.9373545796
687	0.937206304
688	0.937027169
689	0.9369363185
690	0.936879134
691	0.9367153838
692	0.9365558363
693	0.9364778691
694	0.9363194228
695	0.9362216118
696	0.9360801235
697	0.9359369682
698	0.9357341415
699	0.9356514148
700	0.9354810021
701	0.9353635636
702	0.9352556047
703	0.9351108005
704	0.9350307095
705	0.9349656445
706	0.9349285531
707	0.9348000352
708	0.9346657147
709	0.9345029137
710	0.9343831885
711	0.9341267108
712	0.9340374759
713	0.9339092438
714	0.933774344
715	0.9335790993
716	0.9334057788
717	0.9333053527
718	0.9332068956
719	0.9330605511
720	0.9328583247
721	0.9326962816
722	0.9325430044
723	0.9323323987
724	0.9322475819
725	0.9321225096
726	0.9320006535
727	0.9319153163
728	0.9317637855
729	0.9316531582
730	0.9316023184
731	0.9314696229
732	0.9313336743
733	0.9311780481
734	0.9309707388
735	0.9308658607
736	0.9307209439
737	0.9306042209
738	0.930464201
739	0.9303634667
740	0.9302303756
741	0.9300387308
742	0.929980923
743	0.929849987
744	0.9297382098
745	0.9295589535
746	0.929480431
747	0.9293326834
748	0.9292724325
749	0.9291956486
750	0.9291133625
751	0.9290019919
752	0.9289229808
753	0.9287962448
754	0.9287444921
755	0.928644633
756	0.9285134623
757	0.9284520504
758	0.9283193065
759	0.9281949127
760	0.928082231
761	0.9279434986
762	0.9278546411
763	0.927814902
764	0.9277370023
765	0.9276426463
766	0.9274862798
767	0.9273028474
768	0.9272030493
769	0.9271507592
770	0.9269277541
771	0.9267329853
772	0.9265691921
773	0.926480597
774	0.9263546271
775	0.9261902718
776	0.9260367733
777	0.9259082723
778	0.9258302084
779	0.9256520431
780	0.9255026309
781	0.9253899307
782	0.9251658025
783	0.9250248682
784	0.9249314015
785	0.9248509444
786	0.9247567467
787	0.9246848177
788	0.9245569513
789	0.924469336
790	0.9243129917
791	0.924260165
792	0.9241111355
793	0.9240096626
794	0.9239306576
795	0.9237850403
796	0.9236552156
797	0.9234717282
798	0.9234154226
799	0.9232825373
800	0.9231668647
801	0.9230406872
802	0.9229220894
803	0.9228346115
804	0.9227027004
805	0.9225893202
806	0.9224568126
807	0.922380987
808	0.922325805
809	0.9221726405
810	0.9220970004
811	0.92195817
812	0.9219009464
813	0.9217656196
814	0.9216365598
815	0.9214690285
816	0.9213880499
817	0.9212941968
818	0.9212088089
819	0.9211109084
820	0.9209160746
821	0.9207684664
822	0.9206497396
823	0.9205461851
824	0.9204139085
825	0.9202946172
826	0.9200302949
827	0.9198999475
828	0.9197913065
829	0.9196401224
830	0.9194628666
831	0.9194183802
832	0.9192838452
833	0.9191949104
834	0.919100184
835	0.9190249088
836	0.9188925982
837	0.9188435258
838	0.9188167692
839	0.9187188223
840	0.9186531356
841	0.9185724773
842	0.9184681841
843	0.9183391236
844	0.9182381875
845	0.91818259
846	0.9180424897
847	0.917889439
848	0.9177942594
849	0.9176376582
850	0.9175223173
851	0.9173477721
852	0.9171997419
853	0.9170604841
854	0.9168502886
855	0.9167531071
856	0.916561855
857	0.9164654388
858	0.9163204495
859	0.9161974892
860	0.9160709143
861	0.9158702533
862	0.9158150782
863	0.9157569141
864	0.9155864262
865	0.9154932134
866	0.9153936538
867	0.9153526446
868	0.9152453747
869	0.9151287649
870	0.915030583
871	0.9148954084
872	0.9147708364
873	0.9146345644
874	0.9145287204
875	0.9143470466
876	0.9142046812
877	0.914141512
878	0.9140362289
879	0.9138640477
880	0.9137548877
881	0.9137386825
882	0.9136696099
883	0.9135256057
884	0.9134603907
885	0.9134028685
886	0.9133123872
887	0.9132068462
888	0.9131050347
889	0.9129996523
890	0.9127983035
891	0.9127248244
892	0.9125829291
893	0.9124663176
894	0.912416135
895	0.9122974324
896	0.9122281159
897	0.9121171767
898	0.9119825785
899	0.9119056787
900	0.9118327448
901	0.9117033981
902	0.9116252659
903	0.9114951843
904	0.9113805703
905	0.9113013752
906	0.9112061647
907	0.9110581
908	0.9109258943
909	0.9109071962
910	0.9107927874
911	0.9107648102
912	0.9106440422
913	0.9105024479
914	0.9103396326
915	0.910105185
916	0.9099680369
917	0.909878357
918	0.9097063297
919	0.9095469386
920	0.9094282823
921	0.9093044945
922	0.9092145397
923	0.9090202151
924	0.9089021336
925	0.9088060927
926	0.9086554336
927	0.9085894708
928	0.9084957222
929	0.9083380701
930	0.9082193733
931	0.9081297805
932	0.9079938453
933	0.9078611356
934	0.9077527801
935	0.9076159065
936	0.9075127911
937	0.9074065187
938	0.907298514
939	0.9072162976
940	0.9070558944
941	0.9070024615
942	0.9069086317
943	0.9067816499
944	0.906569763
945	0.9064387588
946	0.9063243956
947	0.9062628342
948	0.9061230219
949	0.9060488075
950	0.9059868374
951	0.9059741375
952	0.9058410139
953	0.9056961649
954	0.9055971957
955	0.9054814457
956	0.905375271
957	0.9051913656
958	0.9050678888
959	0.9049649044
960	0.904872505
961	0.9047730067
962	0.9046237642
963	0.904526905
964	0.9043489925
965	0.9042073683
966	0.9041179142
967	0.9039634332
968	0.9038884577
969	0.9037615214
970	0.9036985945
971	0.9035999813
972	0.9035105276
973	0.9033743993
974	0.9032871554
975	0.9031849119
976	0.9030388081
977	0.9028954029
978	0.9028094773
979	0.9026798629
980	0.9025816298
981	0.9024972265
982	0.9023869811
983	0.9023112541
984	0.9021441178
985	0.9020631445
986	0.9019745372
987	0.901914248
988	0.9017244077
989	0.9016143842
990	0.9014703239
991	0.9013928543
992	0.9012763204
993	0.9010881813
994	0.9009767772
995	0.9007737985
996	0.9006864028
997	0.9006058641
998	0.9004878352
999	0.9002803538
